,drug_precision,drug_recall,drug_f1,drug_jaccard,role_precision,role_coverage,active_specialty_count,final_drug_count,evaluation_drug_count,true_prescription_count,mdt_review_count,mdt_candidate_plan_count,safety_triggered_risk_count,risk_adaptation_note_count,medication_impact_review_count,final_avoid_drug_overlap_count
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,0.4427,0.2196,0.2809,0.1684,0.9667,0.8352,3.7407,5.963,10.6296,22.8889,3.7407,3.0,1.9259,3.2222,8.037,0.1852
median,0.4545,0.1923,0.2581,0.1481,1.0,0.8,4.0,6.0,11.0,23.0,4.0,3.0,2.0,3.0,8.0,0.0
min,0.0,0.0,0.0,0.0,0.5,0.6,2.0,5.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
max,0.8,0.5,0.5218,0.3529,1.0,1.0,6.0,6.0,13.0,56.0,6.0,3.0,5.0,9.0,13.0,1.0
