,drug_precision,drug_recall,drug_f1,drug_jaccard,role_precision,role_coverage,active_specialty_count,final_drug_count,true_prescription_count,mdt_review_count,mdt_candidate_plan_count,safety_triggered_risk_count,risk_adaptation_note_count,medication_impact_review_count,final_avoid_drug_overlap_count
count,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
mean,0.2733,0.0694,0.1086,0.0596,0.8318,0.6012,3.4364,5.5636,18.7818,2.7273,3.0,2.0364,2.4,6.4909,0.0545
median,0.2,0.0769,0.1176,0.0625,1.0,0.6667,4.0,6.0,20.0,3.0,3.0,2.0,3.0,7.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
max,0.8333,0.25,0.3636,0.2222,1.0,1.0,6.0,6.0,56.0,6.0,3.0,5.0,9.0,16.0,1.0
